domain,test_case,test_case_norm,class_name,mean_confidence,distance,lab,car,condition
Thermal,M8,M8,traffic light,0.2789711058139801,5,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
Thermal,M9,M9,person,0.35662988999060224,5,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
Thermal,M9,M9,traffic light,0.2962171584367752,5,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
RGB,M01,M1,person,0.2594328045845032,0,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M01,M1,potted plant,0.4595002790292104,0,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M013,M13,bicycle,0.2672176957130432,10,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M013,M13,person,0.4528113338682387,10,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M014,M14,car,0.27413222193717957,10,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M014,M14,person,0.40670503556728366,10,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M014,M14,suitcase,0.3971495845101096,10,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M014,M14,traffic light,0.25789278745651245,10,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M015,M15,car,0.3824598143498103,10,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
RGB,M015,M15,person,0.3359392219119602,10,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
RGB,M019,M19,person,0.49485924111472235,15,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M02,M2,car,0.2903614938259125,0,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M02,M2,fire hydrant,0.38398528369990265,0,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M02,M2,person,0.30493101477622986,0,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M020,M20,person,0.44047929549759085,15,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M021,M21,person,0.28989857293310617,15,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
RGB,M025,M25,bicycle,0.4275886570965802,20,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M025,M25,person,0.6164853976832496,20,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M026,M26,bicycle,0.29908162355422974,20,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M026,M26,person,0.5876847346623738,20,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M027,M27,bottle,0.3480365574359894,20,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
RGB,M027,M27,person,0.4295078181859219,20,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
RGB,M031,M31,bicycle,0.38664512038230897,25,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M031,M31,person,0.6269862353801727,25,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M032,M32,bicycle,0.35848363280296325,25,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M032,M32,person,0.6554959376653036,25,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M033,M33,bicycle,0.3080195263028145,25,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
RGB,M033,M33,person,0.5745138295672156,25,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
RGB,M037,M37,bicycle,0.5403570244709651,30,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M037,M37,person,0.695995036760966,30,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M037,M37,skateboard,0.26141357421875,30,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M038,M38,bicycle,0.39355137646198274,30,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M038,M38,person,0.6813486570661719,30,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M039,M39,person,0.6853696386019389,30,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
RGB,M041,M41,tennis racket,0.2635561525821686,30,OFF,Low beam,"Lab: OFF, Car: Low beam"
RGB,M043,M43,bicycle,0.5862763822078705,35,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M043,M43,person,0.762856529156367,35,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M044,M44,bicycle,0.5669402639780726,35,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M044,M44,car,0.31886544823646545,35,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M044,M44,person,0.7791185279687246,35,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M045,M45,chair,0.37678755323092145,35,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
RGB,M045,M45,person,0.6988289263099432,35,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
RGB,M049,M49,bicycle,0.8446265459060669,40,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M049,M49,person,0.7822002033392589,40,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
